time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z
51926400.00000000,137970189293.65499878,61783831440.04115295,0.00000000,-137970189293.65499878,-61783831440.04115295,0.00000000
52012800.00000000,137373933655.81344604,62595950558.87411499,0.00000000,-137373933655.81344604,-62595950558.87411499,0.00000000
52099200.00000000,136767729874.78359985,63403585312.64620972,0.00000000,-136767729874.78359985,-63403585312.64620972,0.00000000
52185600.00000000,136151579721.74346924,64206658108.97583771,0.00000000,-136151579721.74346924,-64206658108.97583771,0.00000000
52272000.00000000,135525484939.23387146,65005090671.91258240,0.00000000,-135525484939.23387146,-65005090671.91258240,0.00000000
52358400.00000000,134889447248.01347351,65798804023.87448120,0.00000000,-134889447248.01347351,-65798804023.87448120,0.00000000
52444800.00000000,134243468354.15591431,66587718467.28149414,0.00000000,-134243468354.15591431,-66587718467.28149414,0.00000000
52531200.00000000,133587549956.39913940,67371753565.87602234,0.00000000,-133587549956.39913940,-67371753565.87602234,0.00000000
52617600.00000000,132921693753.75733948,68150828125.72100830,0.00000000,-132921693753.75733948,-68150828125.72100830,0.00000000
52704000.00000000,132245901453.40650940,68924860175.86614990,0.00000000,-132245901453.40650940,-68924860175.86614990,0.00000000
52790400.00000000,131560174778.85493469,69693766948.67234802,0.00000000,-131560174778.85493469,-69693766948.67234802,0.00000000
52876800.00000000,130864515478.41053772,70457464859.78450012,0.00000000,-130864515478.41053772,-70457464859.78450012,0.00000000
52963200.00000000,130158925333.95744324,71215869487.74237061,0.00000000,-130158925333.95744324,-71215869487.74237061,0.00000000
53049600.00000000,129443406170.05477905,71968895553.21922302,0.00000000,-129443406170.05477905,-71968895553.21922302,0.00000000
53136000.00000000,128717959863.37117004,72716456897.87760925,0.00000000,-128717959863.37117004,-72716456897.87760925,0.00000000
53222400.00000000,127982588352.46897888,73458466462.83139038,0.00000000,-127982588352.46897888,-73458466462.83139038,0.00000000
53308800.00000000,127237293647.95314026,74194836266.70307922,0.00000000,-127237293647.95314026,-74194836266.70307922,0.00000000
